date,count,day_of_week,Public Holiday
2022-07-15,4468,Friday,Working Day
2022-07-16,4665,Saturday,Working Day
2022-07-17,1893,Sunday,Working Day
2022-07-18,4856,Monday,Working Day
2022-07-19,4990,Tuesday,Working Day
2022-07-20,4926,Wednesday,Working Day
2022-07-21,4724,Thursday,Working Day
2022-07-22,4241,Friday,Working Day
2022-07-23,4714,Saturday,Working Day
2022-07-24,1960,Sunday,Working Day
2022-07-25,4837,Monday,Working Day
2022-07-26,4792,Tuesday,Working Day
2022-07-27,4609,Wednesday,Working Day
2022-07-28,3814,Thursday,Working Day
2022-07-29,4057,Friday,Working Day
2022-07-30,4649,Saturday,Working Day
2022-07-31,1679,Sunday,Working Day
2022-08-01,4570,Monday,Working Day
2022-08-02,4295,Tuesday,Working Day
2022-08-03,3324,Wednesday,Working Day
2022-08-04,4061,Thursday,Working Day
2022-08-05,3551,Friday,Working Day
2022-08-06,4030,Saturday,Working Day
2022-08-07,1574,Sunday,Working Day
2022-08-08,4823,Monday,Working Day
2022-08-09,5488,Tuesday,Muharram
2022-08-10,4369,Wednesday,Working Day
2022-08-11,4396,Thursday,Working Day
2022-08-12,4022,Friday,Working Day
2022-08-13,4774,Saturday,Working Day
2022-08-14,1799,Sunday,Working Day
2022-08-15,4417,Monday,Independence Day
2022-08-16,4562,Tuesday,Working Day
2022-08-17,4484,Wednesday,Working Day
2022-08-18,4612,Thursday,Working Day
2022-08-19,4655,Friday,Krishna Jayanthi
2022-08-20,4365,Saturday,Working Day
2022-08-21,1838,Sunday,Working Day
2022-08-22,4358,Monday,Working Day
2022-08-23,4606,Tuesday,Working Day
2022-08-24,4234,Wednesday,Working Day
2022-08-25,4460,Thursday,Working Day
2022-08-26,3962,Friday,Working Day
2022-08-27,4383,Saturday,Working Day
2022-08-28,1747,Sunday,Working Day
2022-08-29,3932,Monday,Working Day
2022-08-30,3974,Tuesday,Working Day
2022-08-31,3332,Wednesday,Vinayakar Chathurthi
2022-09-01,3573,Thursday,Working Day
2022-09-02,3682,Friday,Working Day
2022-09-03,4199,Saturday,Working Day
2022-09-04,1769,Sunday,Working Day
2022-09-05,4321,Monday,Working Day
2022-09-06,4135,Tuesday,Working Day
2022-09-07,3590,Wednesday,Working Day
2022-09-08,3673,Thursday,Working Day
2022-09-09,3831,Friday,Working Day
2022-09-10,4468,Saturday,Working Day
2022-09-11,1765,Sunday,Working Day
2022-09-12,4474,Monday,Working Day
2022-09-13,4745,Tuesday,Working Day
2022-09-14,4432,Wednesday,Working Day
2022-09-15,4484,Thursday,Working Day
2022-09-16,4149,Friday,Working Day
2022-09-17,4542,Saturday,Working Day
2022-09-18,1873,Sunday,Working Day
2022-09-19,4854,Monday,Working Day
2022-09-20,4787,Tuesday,Working Day
2022-09-21,4635,Wednesday,Working Day
2022-09-22,4560,Thursday,Working Day
2022-09-23,3958,Friday,Working Day
2022-09-24,4240,Saturday,Working Day
2022-09-25,1788,Sunday,Working Day
2022-09-26,4269,Monday,Working Day
2022-09-27,4262,Tuesday,Working Day
2022-09-28,4238,Wednesday,Working Day
2022-09-29,4150,Thursday,Working Day
2022-09-30,3775,Friday,Working Day
2022-10-01,4334,Saturday,Working Day
2022-10-02,1902,Sunday,Gandhi Jayanthi
2022-10-03,5363,Monday,Working Day
2022-10-04,3558,Tuesday,Ayutha Pooja
2022-10-05,4465,Wednesday,Vijaya Dasami
2022-10-06,4937,Thursday,Working Day
2022-10-07,4842,Friday,Working Day
2022-10-08,4507,Saturday,Working Day
2022-10-09,1588,Sunday,Milad-un-Nabi
2022-10-10,4270,Monday,Working Day
2022-10-11,4195,Tuesday,Working Day
2022-10-12,4111,Wednesday,Working Day
2022-10-13,3993,Thursday,Working Day
2022-10-14,3788,Friday,Working Day
2022-10-15,4072,Saturday,Working Day
2022-10-16,1525,Sunday,Working Day
2022-10-17,4153,Monday,Working Day
2022-10-18,3721,Tuesday,Working Day
2022-10-19,3374,Wednesday,Working Day
2022-10-20,3190,Thursday,Working Day
2022-10-21,2859,Friday,Working Day
2022-10-22,2932,Saturday,Working Day
2022-10-23,1340,Sunday,Working Day
2022-10-24,1423,Monday,Deepavali
2022-10-25,3772,Tuesday,Working Day
2022-10-26,4504,Wednesday,Working Day
2022-10-27,4612,Thursday,Working Day
2022-10-28,4201,Friday,Working Day
2022-10-29,4400,Saturday,Working Day
2022-10-30,1765,Sunday,Working Day
2022-10-31,4670,Monday,Working Day
2022-11-01,4660,Tuesday,Working Day
2022-11-02,4664,Wednesday,Working Day
2022-11-03,4653,Thursday,Working Day
2022-11-04,4159,Friday,Working Day
2022-11-05,4714,Saturday,Working Day
2022-11-06,1728,Sunday,Working Day
2022-11-07,4459,Monday,Working Day
2022-11-08,4548,Tuesday,Working Day
2022-11-09,4391,Wednesday,Working Day
2022-11-10,4307,Thursday,Working Day
2022-11-11,4027,Friday,Working Day
2022-11-12,4259,Saturday,Working Day
