date,count
2024-04-21,1321
2024-04-22,4325
2024-04-23,2793
2024-04-24,4586
2024-04-25,4849
2024-04-26,4294
2024-04-27,4379
2024-04-28,1779
2024-04-29,5645
2024-04-30,5365
2024-05-01,5492
2024-05-02,5334
2024-05-03,4829
2024-05-04,4705
2024-05-05,1579
2024-05-06,5222
2024-05-07,4871
2024-05-08,4952
2024-05-09,5024
2024-05-10,4466
2024-05-11,4563
2024-05-12,1734
2024-05-13,4959
2024-05-14,5130
2024-05-15,5226
2024-05-16,5092
2024-05-17,4710
2024-05-18,4324
2024-05-19,1764
2024-05-20,4918
2024-05-21,5014
2024-05-22,4719
2024-05-23,4885
2024-05-24,4795
2024-05-25,4718
2024-05-26,1851
2024-05-27,5501
2024-05-28,5630
2024-05-29,5424
2024-05-30,5148
2024-05-31,4623
2024-06-01,4625
2024-06-02,1604
2024-06-03,5306
2024-06-04,4394
2024-06-05,4849
2024-06-06,4944
2024-06-07,4470
2024-06-08,4530
2024-06-09,1493
2024-06-10,4095
2024-06-11,4559
2024-06-12,4040
2024-06-13,4772
2024-06-14,4394
2024-06-15,4660
2024-06-16,1870
2024-06-17,5292
2024-06-18,5053
2024-06-19,5002
2024-06-20,4875
2024-06-21,4434
2024-06-22,5057
2024-06-23,1665
2024-06-24,5136
2024-06-25,5090
2024-06-26,4891
2024-06-27,4998
2024-06-28,4560
2024-06-29,4940
2024-06-30,1804
2024-07-01,5150
2024-07-02,5132
2024-07-03,5176
2024-07-04,4862
2024-07-05,4230
2024-07-06,4898
2024-07-07,1764
2024-07-08,5040
2024-07-09,4988
2024-07-10,4568
2024-07-11,4676
2024-07-12,4108
2024-07-13,5002
2024-07-14,1902
2024-07-15,5098
2024-07-16,4841
2024-07-17,5583
2024-07-18,4724
2024-07-19,4238
2024-07-20,4746
2024-07-21,1793
2024-07-22,5009
2024-07-23,5027
2024-07-24,4715
2024-07-25,4643
2024-07-26,4282
2024-07-27,4808
2024-07-28,1840
2024-07-29,4790
2024-07-30,4782
2024-07-31,4302
2024-08-01,4372
2024-08-02,3909
2024-08-03,3536
2024-08-04,1691
2024-08-05,4522
2024-08-06,4608
2024-08-07,4326
2024-08-08,4543
2024-08-09,4187
2024-08-10,4783
2024-08-11,1731
2024-08-12,4442
2024-08-13,4561
2024-08-14,4181
2024-08-15,4630
2024-08-16,3946
2024-08-17,2640
2024-08-18,1476
2024-08-19,4776
2024-08-20,5017
2024-08-21,4611
2024-08-22,4393
2024-08-23,4222
2024-08-24,5135
2024-08-25,1576
2024-08-26,5404
2024-08-27,4468
2024-08-28,4621
2024-08-29,4290
2024-08-30,3903
2024-08-31,4360
